id,created_at,text,hashtags,media_url
1583110904757227520,2022-10-20 15:00:27+00:00,"b'9 days until I make history but first I\xe2\x80\x99m getting this extra weight off on the toilet. Oh and you can win $100,000 on @betr right now (next tweet\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc) https://t.co/h6ngkpWac8'",[],http://pbs.twimg.com/media/FfhW-TLWIAE88Rm.jpg
1583109793023430664,2022-10-20 14:56:02+00:00,b'RT @MostVpromotions: Marvelous right hand enough to take out Anderson Silva? #PaulSilva https://t.co/hEes4RS6A3',"[{'text': 'PaulSilva', 'indices': [77, 87]}]",http://pbs.twimg.com/media/FfhRuu2WAAESTti.jpg
1582822048564678657,2022-10-19 19:52:38+00:00,b'RT @combate: Combate transmite Anderson Silva x Jake Paul ao vivo no dia 29 https://t.co/lJ7K5dNlRB https://t.co/NhwIPglVDV',[],http://pbs.twimg.com/media/Ffc-LTgakAAmp96.jpg
1581502356721893379,2022-10-16 04:28:39+00:00,b'DEONTAY WILDER 1ST ROUND KO. https://t.co/jWrddAN4tQ',[],http://pbs.twimg.com/ext_tw_video_thumb/1581502238505189376/pu/img/z4hqq9W3FOPSfyjq.jpg
1581489277023592448,2022-10-16 03:36:40+00:00,b'lesssggoooo Haney \xf0\x9f\x91\x80 rocking the @betr patch https://t.co/Ix0AfI1GEX',[],http://pbs.twimg.com/media/FfKUG7vWIAASxRy.jpg
1581265275130740736,2022-10-15 12:46:34+00:00,b'Respectfully https://t.co/tKtTLSYoim',[],http://pbs.twimg.com/media/FfHIYtlWIAEJgqM.jpg
1580999362636750851,2022-10-14 19:09:56+00:00,b'Thinking about how to beat Anderson Silva. https://t.co/RPqiosK4s3',[],http://pbs.twimg.com/media/FfDWgejXoAUkVb3.jpg
1580902859700244481,2022-10-14 12:46:28+00:00,b'RT @MostVpromotions: #PaulSilva https://t.co/5AYTQk3503',"[{'text': 'PaulSilva', 'indices': [21, 31]}]",http://pbs.twimg.com/media/FfB5N4NWAAYZjgv.jpg
1580624555101806592,2022-10-13 18:20:35+00:00,b'RT @ShowtimeBoxing: .@UriahHallMMA and @LeVeonBell BOTH want @jakepaul next \xf0\x9f\x91\x80\n\n#HallBell #PaulSilva https://t.co/Krc1THZ5HQ',"[{'text': 'HallBell', 'indices': [79, 88]}, {'text': 'PaulSilva', 'indices': [89, 99]}]",http://pbs.twimg.com/media/Fe90CP-WAAUbrzn.jpg
1580577004424138752,2022-10-13 15:11:38+00:00,"b'$5000 to someone who likes, retweets and comments: #PaulSilva 10/29 \n\nOrder Now https://t.co/CtzCj10xWi https://t.co/5tiW1AWvtH'","[{'text': 'PaulSilva', 'indices': [51, 61]}]",http://pbs.twimg.com/ext_tw_video_thumb/1580576912694542336/pu/img/Uuw5wJzV_luDzWzM.jpg
